"","fecha","TOTAL NACIONAL-Producción de Petróleo Crudo","TOTAL NACIONAL-PRODUCCIÓN DE PETRÓLEO CRUDO FISCALIZADA (Miles de barriles)","TOTAL NACIONAL-EXPORTACIONES DE PETRÓLEO CRUDO (Miles de barriles)","TOTAL NACIONAL-CRUDO RECIBIDO EN REFINERÍAS Y CONSUMO EN OLEODUCTO (Miles de barriles)","TOTAL NACIONAL-MATERIA PRIMA PROCESADA EN REFINERÍAS (Miles de barriles)","TOTAL NACIONAL-TRANSPORTE POR OLEODUCTOS (Miles de barriles)","TOTAL NACIONAL-PRODUCCIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-IMPORTACIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-CONSUMO INTERNO DE DERIVADOS (Miles de barriles)","TOTAL EXPORTACIONES DE PETRÓLEO (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE EMPRESAS PÚBLICAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE COMPAÑÍAS PRIVADAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE MEM (miles de barriles)","TOTAL EXPORTACIONES DE DERIVADOS (miles de barriles)","Exportaciones de Derivados (miles de barriles)","Ingresos de EP PETROECUADOR por Exportaciones (miles de USD)","DIFERENCIA INGRESOS Y EGRESOS (miles de USD)","Precio Promedio Mensual WTI","Precio Promedio Mensual Brent"
"1",2007-01-01,186547.13075,181436.361267176,124098.2492,60252.26773,54874.266,175020.01183,65139.4191696644,32442.06112015,66708.5420352818,124098.2492,66607.088,57491.1612,0,14415.888,32.6790736970904,4835447.61949,-1426389.99445089,866.1,869.58
"2",2008-01-01,184727.880866,181106.673112,127395.45811,62681.4475033333,56904.526,175054.90346,67560.1074018454,31470.16196245,69262.491602372,127395.45811,77480.31888,49871.81748,0,15416.08628,33.1436219862405,7644833.08416,-1890940.95521004,1196.8,1162.17
"3",2009-01-01,177414.404796333,174981.423797448,119557.67209,62359.1204490323,56759.476,169413.24834,68700.6802297002,34514.92985145,75818.2149517944,119557.67209,83470.10833,36087.56376,0,12334.315,22.1433562052529,5157184.73985,-1085359.09590284,740.85,737.88
"4",2010-01-01,177421.758702,174719.98384,124464.45128,55523.558418,49843.528,169183.60806,61886.2879929448,44228.2684754,79933.5419922138,124464.45128,93241.74821,31222.70307,0,10258.8257,23.2365247261939,7460044.53953,-2017082.48231383,952.26,954.06
"5",2011-01-01,182356.92706,179419.69175,121731.62406,57771.93909,56959.67738,174052.42032,70046.2405971429,41020.81838995,82612.7740882633,121731.62406,105599.07531,411.521919999997,15720.75786,11297.39757,29.1215470258305,11414069.35541,-2949875.49387867,1140.35,1336.009
"6",2012-01-01,184323.286027,181235.023636,129515.92082,56373.982936086,55582.588131432,177395.35217,71593.8065162554,43015.4629950235,85268.110030241,129515.92082,112321.07503,0,17194.84579,10037.84748,41.1087145939961,12098151.04031,-3405666.63599378,1129.8,1339.58
"7",2013-01-01,192116.6845,188884.96009,140245.03626,52262.081011,51349.795113,185306.59786,69589.6645804284,48619.4426401135,90368.9213579786,140245.03626,124132.05457,0,16112.98169,7179.53964,745.164424651998,12591880.6184,-3666852.5455121,1174.47,1304.24
"8",2014-01-01,203079.646801,199842.49414,154659.75363,46622.9134006148,45757.4164206764,191634.36944,65985.6776131958,57145.4057338955,94649.0577577813,154659.75363,138654.18907,0,16003.91956,2623.91272,433.749877227719,11916699.90535,-3899166.04158639,1118.08,1188.04
"9",2015-01-01,198229.6161,194950.91324,151765.09679,44933.9334247342,44042.9397773469,195727.58737,66003.2346320998,56079.903326196,92800.4316767125,151765.09679,131364.95697,0,20400.13982,5692.89702,1418.78071197789,5800260.64969,-1713057.50535768,584.92,629.32
"10",2016-01-01,200729.498511,196686.69919,144559.38487,55667.7373972679,54963.2897115831,194063.34462,74052.4331855615,47047.915093172,87622.651663514,144559.38487,126001.69985,0,18557.68502,12079.916,1764.16896439304,4803723.98591264,-627707.757798746,518.48,524.29
"11",2017-01-01,193927.090067,190267.08876,135494.26235,57730.3783674175,56954.6439169765,190977.86236,77719.1508314239,48994.54657,86559.5050765388,135494.26235,116332.61746,0,19161.64489,15440.11819,2832.15206281682,5995728.34955956,-1122584.68584298,610.86,650.99
"12",2018-01-01,188792.489683,185216.23898,129692.397045472,59216.8577930935,58128.3878142303,186735.22672,80470.1984465812,53114.886731,93179.8906904774,129692.397045472,110067.70565,0,19624.65932,15395.44081,2683.49179978687,7609460.92765631,-1919520.2820083,778.76,851.29
"13",2019-01-01,193816.083179,190201.81453,139816.15633,53012.5854221395,52069.1312532618,192892.47596,75625.3747949497,58217.384536,90999.669538135,139816.15633,120932.16754,0,18883.98879,15849.14606,2832.68525428913,7533969.55061767,-1232764.81101852,684.3,770.53
"14",2020-01-01,175449.72155,171848.29128,131521.81103,43531.7460060558,42758.5563353325,172286.04143,60358.9668526916,49966.60056,74322.0368299657,131521.81103,115633.69855,0,15888.11248,14841.5897,3289.40643770546,4636488.02878284,-389228.698674336,472.26,499.19
"15",2021-01-01,172601.626627,169575.21906,117446.57591,53459.505757708,53469.8295938741,164985.60775,75541.5080033947,56903.767908,90731.0259218491,117446.57591,101281.73733,0,16164.83858,16246.93694,9018.06977338237,7257841.84137908,-1187152.85275102,815.97,847.65
"16",2022-01-01,175553.094,172685.93571,116899.09928,56976.3830147699,56368.157560449,171451.35395,78371.0715427534,60787.18447,99021.9562480729,116899.09928,100472.08585,237.44361,16189.56982,14047.14662,10274.9336349,9715534.8599074,-3327670.30065264,1133.1,1211.09
"17",2023-01-01,173475.142805,169237.90887,115034.25295,54020.0274389814,53375.6569392982,167053.30457,76420.7827021081,66081.99838,104091.805153128,115034.25295,101040.08426,770.96242,13223.20627,10631.199941,9585.08759376643,7526631.94645134,-2246501.47907478,931.42,991.44
